6/12/2023,Jun-23,OCR ,GCE ,H443/03 ,(Latin) ,Prose Literature - Written Paper ,PM ,2h 00m 
6/20/2023,Jun-23,OCR ,GCE ,H443/04 ,(Latin) ,Verse Literature - Written Paper ,AM ,2h 00m 
5/25/2023,Jun-23,OCR ,GCE ,H444/01 ,(Classical Greek) ,Unseen Translation - Written Paper ,PM ,1h 45m 
6/9/2023,Jun-23,OCR ,GCE ,H444/02 ,(Classical Greek) ,Prose Composition or Comprehension - Written Paper ,PM ,1h 15m 
6/15/2023,Jun-23,OCR ,GCE ,H444/03 ,(Classical Greek) ,Prose Literature - Written Paper ,AM ,2h 00m 
6/22/2023,Jun-23,OCR ,GCE ,H444/04 ,(Classical Greek) ,Verse Literature - Written Paper ,AM ,2h 00m 
6/12/2023,Jun-23,OCR ,GCE ,H446/01 ,(Computer Science) ,Computer systems - Written Paper ,PM ,2h 30m 
6/19/2023,Jun-23,OCR ,GCE ,H446/02 ,(Computer Science) ,Algorithms and programming - Written Paper ,AM ,2h 30m 
6/7/2023,Jun-23,OCR ,GCE ,H459/31 ,(Drama and Theatre) ,Analysing Performance - Written Paper ,PM ,2h 15m 
6/14/2023,Jun-23,OCR ,GCE ,H459/41 ,(Drama and Theatre) ,Deconstructing texts for performance: Antigone - Written Paper ,AM ,1h 45m 
6/14/2023,Jun-23,OCR ,GCE ,H459/42 ,(Drama and Theatre) ,Deconstructing texts for performance: Cloud Nine - Written Paper ,AM ,1h 45m 
6/14/2023,Jun-23,OCR ,GCE ,H459/43 ,(Drama and Theatre) ,Deconstructing texts for performance: Earthquakes in London - Written Paper ,AM ,1h 45m 
6/14/2023,Jun-23,OCR ,GCE ,H459/44 ,(Drama and Theatre) ,Deconstructing texts for performance: Stockholm - Written Paper ,AM ,1h 45m 
6/14/2023,Jun-23,OCR ,GCE ,H459/45 ,(Drama and Theatre) ,Deconstructing texts for performance: Sweeney Todd: The Demon Barber of Fleet Street ,AM ,1h 45m 
6/14/2023,Jun-23,OCR ,GCE ,H459/46 ,(Drama and Theatre) ,Deconstructing texts for performance: The Crucible - Written Paper ,AM ,1h 45m 
6/14/2023,Jun-23,OCR ,GCE ,H459/47 ,(Drama and Theatre) ,Deconstructing texts for performance: The Visit - Written Paper ,AM ,1h 45m 
6/14/2023,Jun-23,OCR ,GCE ,H459/48 ,(Drama and Theatre) ,Deconstructing texts for performance: Woza Albert! - Written Paper ,AM ,1h 45m 
5/18/2023,Jun-23,OCR ,GCE ,H460/01 ,(Economics) ,Microeconomics - Written Paper ,AM ,2h 00m 
5/22/2023,Jun-23,OCR ,GCE ,H460/02 ,(Economics) ,Macroeconomics - Written Paper ,PM ,2h 00m 
6/5/2023,Jun-23,OCR ,GCE ,H460/03 ,(Economics) ,Themes in economics - Written Paper ,AM ,2h 00m 
5/25/2023,Jun-23,OCR ,GCE ,H470/01 ,(English Language) ,Exploring language - Written Paper ,AM ,2h 30m 
6/5/2023,Jun-23,OCR ,GCE ,H470/02 ,(English Language) ,Dimensions of linguistic variation - Written Paper ,AM ,2h 30m 
5/24/2023,Jun-23,OCR ,GCE ,H472/01 ,(English Literature) ,Drama and poetry pre-1900 - Written Paper ,PM ,2h 30m 
6/8/2023,Jun-23,OCR ,GCE ,H472/02 ,(English Literature) ,Comparative and contextual study - Written Paper ,AM ,2h 30m 
5/25/2023,Jun-23,OCR ,GCE ,H474/01 ,(English Language and Literature (EMC)) ,Exploring non-fiction and spoken texts - Written Paper ,AM ,1h 00m 
6/5/2023,Jun-23,OCR ,GCE ,H474/02 ,(English Language and Literature (EMC)) ,The language of poetry and plays - Written Paper ,AM ,2h 00m 
6/15/2023,Jun-23,OCR ,GCE ,H474/03 ,(English Language and Literature (EMC)) ,"Reading as a writer, writing as a reader - Written Paper ",AM ,2h 00m 
